"TABLE_NAME","COLUMN_ID","COLUMN_NAME","TIPO","NULLABLE"
"AJUSTES_STOCK",1,"ID_AJUSTE","NUMBER","N"
"AJUSTES_STOCK",2,"ID_PRODUCTO","NUMBER","N"
"AJUSTES_STOCK",3,"ID_OFICINA","NUMBER","N"
"AJUSTES_STOCK",4,"TIPO_AJUSTE","VARCHAR2(20)","Y"
"AJUSTES_STOCK",5,"CANTIDAD","NUMBER","N"
"AJUSTES_STOCK",6,"FECHA","DATE","Y"
"AJUSTES_STOCK",7,"OBSERVACION","VARCHAR2(255)","N"
"AJUSTES_STOCK",8,"TIPO_MOVIMIENTO","VARCHAR2(20)","Y"
"AJUSTES_STOCK",9,"USUARIO","VARCHAR2(100)","Y"
"AJUSTES_STOCK",10,"HORA","VARCHAR2(10)","Y"
"APP_CONFIG",1,"CLAVE","VARCHAR2(100)","N"
"APP_CONFIG",2,"VALOR","VARCHAR2(4000)","Y"
"APP_CONFIG",3,"DESCRIPCION","VARCHAR2(500)","Y"
"AUDITORIA_PRODUCTO_PROVEEDOR",1,"ID_AUDITORIA","NUMBER","N"
"AUDITORIA_PRODUCTO_PROVEEDOR",2,"ID_PRODUCTO","NUMBER","N"
"AUDITORIA_PRODUCTO_PROVEEDOR",3,"ID_PERSONA","NUMBER","N"
"AUDITORIA_PRODUCTO_PROVEEDOR",4,"FECHA_INICIO","DATE","Y"
"AUDITORIA_PRODUCTO_PROVEEDOR",5,"PRECIO_ANTERIOR","NUMBER","Y"
"AUDITORIA_PRODUCTO_PROVEEDOR",6,"PRECIO_NUEVO","NUMBER","Y"
"AUDITORIA_PRODUCTO_PROVEEDOR",7,"ESTADO_ANTERIOR","VARCHAR2(20)","Y"
"AUDITORIA_PRODUCTO_PROVEEDOR",8,"ESTADO_NUEVO","VARCHAR2(20)","Y"
"AUDITORIA_PRODUCTO_PROVEEDOR",9,"TIPO_OPERACION","VARCHAR2(20)","Y"
"AUDITORIA_PRODUCTO_PROVEEDOR",10,"FECHA_CAMBIO","DATE","Y"
"AUDITORIA_PRODUCTO_PROVEEDOR",11,"USUARIO_CAMBIO","VARCHAR2(100)","Y"
"CAJA_CONF",1,"ID_CAJA_CONF","NUMBER","N"
"CAJA_CONF",2,"DESCRIPCION","VARCHAR2(50)","N"
"CAJA_CONF",3,"ESTADO","CHAR(1)","Y"
"CAJA_CONF",4,"ID_OFICINA","NUMBER","Y"
"CAJA_CONF",5,"PUNTO_EXPEDICION","VARCHAR2(3)","Y"
"CAJA_MONEDAS",1,"ID_CAJA","NUMBER","N"
"CAJA_MONEDAS",2,"MONEDA","VARCHAR2(10)","N"
"CAJA_MONEDAS",3,"MONTO_APERTURA","NUMBER(12,2)","Y"
"CAJA_MONEDAS",4,"MONTO_CIERRE","NUMBER(12,2)","Y"
"CAJA_MONEDAS",5,"MONTO_DECLARADO","NUMBER","Y"
"CAJA_MONEDAS",6,"MONTO_DIFERENCIA","NUMBER","Y"
"CAJA_MONEDAS",7,"MONTO_CIERRE_PREV","NUMBER","Y"
"CAJAS",1,"ID_CAJA","NUMBER","N"
"CAJAS",2,"ID_EMPLEADO","NUMBER","N"
"CAJAS",3,"ESTADO","CHAR(1)","Y"
"CAJAS",4,"FEC_APERTURA","TIMESTAMP","Y"
"CAJAS",5,"FEC_CIERRE","TIMESTAMP","Y"
"CAJAS",6,"USU_APERTURA","VARCHAR2(35)","Y"
"CAJAS",7,"USU_CIERRE","VARCHAR2(35)","Y"
"CAJAS",8,"ID_CAJA_CONF","NUMBER","Y"
"CAJAS",9,"ID_OFICINA","NUMBER","Y"
"CAJAS",10,"OBSERVACION","VARCHAR2(255)","Y"
"CARGA_MASIVA_PP",1,"ID_CARGA","NUMBER","N"
"CARGA_MASIVA_PP",2,"FECHA_CARGA","DATE","Y"
"CARGA_MASIVA_PP",3,"USUARIO_CARGA","VARCHAR2(100)","Y"
"CARGA_MASIVA_PP",4,"NOMBRE_ARCHIVO","VARCHAR2(255)","Y"
"CARGA_MASIVA_PP",5,"REGISTROS_TOTALES","NUMBER","Y"
"CARGA_MASIVA_PP",6,"REGISTROS_EXITOSOS","NUMBER","Y"
"CARGA_MASIVA_PP",7,"REGISTROS_ERROR","NUMBER","Y"
"CARGA_MASIVA_PP",8,"ESTADO_CARGA","VARCHAR2(20)","Y"
"CARGA_MASIVA_PP",9,"FECHA_FINALIZACION","DATE","Y"
"CATEGORIAS_PRODUCTOS",1,"ID_CATEGORIA","NUMBER","N"
"CATEGORIAS_PRODUCTOS",2,"NOMBRE","VARCHAR2(100)","N"
"CATEGORIAS_PRODUCTOS",3,"DESCRIPCION","VARCHAR2(255)","Y"
"CIUDADES",1,"CODIGO_CIUDAD","NUMBER","N"
"CIUDADES",2,"DESCRIPCION","VARCHAR2(255)","N"
"CIUDADES",3,"CODIGO_DEPARTAMENTO","NUMBER","Y"
"CLIENTES",1,"ID_PERSONA","NUMBER","N"
"CLIENTES",2,"CODIGO_USUARIO","VARCHAR2(1000)","Y"
"CLIENTES",3,"ESTADO","VARCHAR2(50)","Y"
"CLIENTES",4,"FECHA_REGISTRO","DATE","N"
"CLIENTES",5,"CATEGORIA_CLIENTE","VARCHAR2(50)","Y"
"COMPROBANTES",1,"ID_COMPROBANTE","NUMBER","N"
"COMPROBANTES",2,"ID_CLIENTE","NUMBER","N"
"COMPROBANTES",3,"ID_OFICINA","NUMBER","N"
"COMPROBANTES",4,"ID_ORDEN_VENTA","NUMBER","Y"
"COMPROBANTES",5,"TIPO_COMPROBANTE","CHAR(2)","N"
"COMPROBANTES",6,"ID_FAC_ORIGEN","VARCHAR2(100)","Y"
"COMPROBANTES",7,"FECHA","DATE","Y"
"COMPROBANTES",8,"TOTAL_MONEDA_LOCAL","NUMBER(12,2)","N"
"COMPROBANTES",9,"MONEDA","VARCHAR2(10)","Y"
"COMPROBANTES",10,"TIPO_CAMBIO","NUMBER(12,6)","Y"
"COMPROBANTES",11,"TOTAL_MONEDA_ORIGEN","NUMBER(12,2)","Y"
"COMPROBANTES",12,"FORMA_PAGO","VARCHAR2(20)","Y"
"COMPROBANTES",13,"ESTADO","CHAR(1)","Y"
"COMPROBANTES",14,"OBSERVACION","VARCHAR2(255)","Y"
"COMPROBANTES",15,"ID_TALONARIO","NUMBER","Y"
"COMPROBANTES",16,"NRO_COMPROBANTE","VARCHAR2(20)","Y"
"COMPROBANTES",17,"ID_PLAN_CUOTA","NUMBER","Y"
"COMPROBANTES",18,"TOTAL_EXENTA","NUMBER(12,2)","Y"
"COMPROBANTES",19,"TOTAL_GRAVADA_5","NUMBER(12,2)","Y"
"COMPROBANTES",20,"TOTAL_GRAVADA_10","NUMBER(12,2)","Y"
"COMPROBANTES",21,"TOTAL_IVA_5","NUMBER(12,2)","Y"
"COMPROBANTES",22,"TOTAL_IVA_10","NUMBER(12,2)","Y"
"COMPROBANTES",23,"TOTAL_IVA","NUMBER(12,2)","Y"
"COMPROBANTES",24,"ID_METODO_PAGO","NUMBER","Y"
"COMPROBANTES",25,"MOTIVO_ANULACION","VARCHAR2(500)","Y"
"COMPROBANTES",26,"USUARIO_SOLICITA","VARCHAR2(60)","Y"
"COMPROBANTES",27,"FECHA_SOLICITUD","DATE","Y"
"COMPROBANTES",28,"USUARIO_APRUEBA","VARCHAR2(60)","Y"
"COMPROBANTES",29,"FECHA_RESOLUCION","DATE","Y"
"COMPROBANTES",30,"MOTIVO_RECHAZO","VARCHAR2(500)","Y"
"COMPROBANTES",31,"FECHA_HORA_EMISION","TIMESTAMP","Y"
"COMPROBANTES",32,"COD_MOTIVO","NUMBER(2)","Y"
"COMPROBANTES",33,"ID_COMPROBANTE_ORIGEN","NUMBER","Y"
"COMPROBANTES",34,"INTERES_FINANCIACION","NUMBER","Y"
"COMPROBANTES_PROVEEDOR",1,"ID_COMPROBANTE","NUMBER","N"
"COMPROBANTES_PROVEEDOR",2,"TIPO_COMPROBANTE","CHAR(2)","N"
"COMPROBANTES_PROVEEDOR",3,"ID_PROVEEDOR","NUMBER","N"
"COMPROBANTES_PROVEEDOR",4,"FECHA_EMISION","DATE","Y"
"COMPROBANTES_PROVEEDOR",5,"NRO_COMPROBANTE","VARCHAR2(50)","Y"
