"TABLE_NAME","COLUMN_NAME","REF_TABLE"
"AJUSTES_STOCK","ID_OFICINA","OFICINAS"
"AJUSTES_STOCK","ID_PRODUCTO","PRODUCTOS"
"CAJA_CONF","ID_OFICINA","OFICINAS"
"CAJA_MONEDAS","MONEDA","MONEDAS"
"CAJA_MONEDAS","ID_CAJA","CAJAS"
"CAJAS","ID_EMPLEADO","EMPLEADOS"
"CAJAS","ID_OFICINA","OFICINAS"
"CAJAS","ID_CAJA_CONF","CAJA_CONF"
"CIUDADES","CODIGO_DEPARTAMENTO","DEPARTAMENTOS"
"CLIENTES","ID_PERSONA","PERSONAS"
"COMPROBANTES","ID_CLIENTE","CLIENTES"
"COMPROBANTES","COD_MOTIVO","MOTIVOS_NOTA_CREDITO"
"COMPROBANTES","ID_ORDEN_VENTA","ORDENES_VENTA"
"COMPROBANTES","ID_METODO_PAGO","METODOS_PAGO"
"COMPROBANTES","ID_TALONARIO","TALONARIOS"
"COMPROBANTES","ID_OFICINA","OFICINAS"
"COMPROBANTES","ID_PLAN_CUOTA","PLANES_CUOTA"
"COMPROBANTES","ID_COMPROBANTE_ORIGEN","COMPROBANTES"
"COMPROBANTES_PROVEEDOR","COD_MOTIVO","MOTIVOS_NOTA_CREDITO"
"COMPROBANTES_PROVEEDOR","ID_OFICINA","OFICINAS"
"COMPROBANTES_PROVEEDOR","ID_PROVEEDOR","PROVEEDORES"
"COMPROBANTES_PROVEEDOR","ID_ORDEN_COMPRA","ORDENES_COMPRA"
"CUENTAS_COBRAR","ID_PERSONA","PERSONAS"
"CUENTAS_COBRAR_DET","ID_CXC","CUENTAS_COBRAR"
"CUENTAS_PAGAR","ID_COMPROBANTE","COMPROBANTES_PROVEEDOR"
"CUENTAS_PAGAR","ID_PROVEEDOR","PROVEEDORES"
"DETALLE_CARGA_MASIVA_PP","ID_CARGA","CARGA_MASIVA_PP"
"DETALLE_COMPROBANTE","ID_PRODUCTO","PRODUCTOS"
"DETALLE_COMPROBANTE","ID_TIPO_IVA","TIPO_IVA"
"DETALLE_COMPROBANTE","ID_COMPROBANTE","COMPROBANTES"
"DETALLE_COMPROBANTE_PROV","ID_PRODUCTO","PRODUCTOS"
